Author(s),Title,Year,Subject
Ludwig Siep,Hegel und Europa,2003,Philosophy
Günter Oesterle; Manfred Frank; Jochen Hörisch; Ernst Behler (Editors),Athenäum Jahrbuch für Romantik,2004,Literary studies: general
David Roland Doublet,Die Vernunft als Rechtsinstanz,1988,Philosophy
Hans Lenk,Humane Experimente?,1985,Ethics & moral philosophy
Christopher Busch; Till Dembeck; Maren Jäger (Editors),Ichtexte,2019,Literary studies: general
Ralf Koerrenz,Die Knöpfe,2018,Popular philosophy
Charlott Falkenhagen; Nancy Grimm; Laurenz Volkmann (Editors),Internationalisierung des Lehramtsstudiums,2019,Teacher training
Monika Fink-Lang (Volume Editor),Briefe 2,2020,Cultural studies
Gerhard Hoever; Ludger Honnefelder (Editors),Der Streit um das Gewissen,1993,Philosophy
Mariano Delgado; Lucio Gutiérrez,Die Konzilien auf den Philippinen,2007,Orthodox & Oriental Churches
Markus Scheer,Die Argonauten und Äneas in Amerika,2007,Literary studies: general
Yihong Hu,Unterwegs zum Roman,2007,"Literary studies: fiction, novelists & prose writers"
Andrejs Plakans,The Reluctant Exiles,2021,History of other lands
Hagen Schönrich,Mit der Post in die Zukunft,2021,Social & cultural history
Andrea Thimm,Die Bildung der Moral,2007,Philosophy & theory of education
Georg Gresser,Clemens II.,2007,Religious & spiritual leaders
Lutz Koch; Volker Ladenthin; Gerhard Mertens; Winfried Böhm (Authors); Lutz Koch; Gerhard Mertens; Volker Ladenthin; Ursula Frost; Winfried Böhm (Editors),Handbuch der Erziehungswissenschaft,2008,Education
Dominik Fugger,Das Königreich am Dreikönigstag,2007,History of art / art & design styles
Thomas Söding,Ereignis und Erinnerung,2007,New Testaments
Philip Schmitz,Die Giessener Zenonpapyri,2007,Archaeology
Günter Oesterle; Manfred Frank; Jochen Hörisch; Ernst Behler (Editors),Athenäum Jahrbuch für Romantik,2008,Literary studies: general
Holger Arning,Die Macht des Heils und das Unheil der Macht,2007,Christianity
Christian Hillgruber,Staat und Religion,2007,Political control & freedoms
Klaus Bergdolt,Das Auge und die Theologie,2007,Christianity
Dorothea Steffen,Bürgerliche Rechtseinheit und Politischer Katholizismus,2008,Politics & government
Otto Neumaier,Moralische Verantwortung,2008,Ethics & moral philosophy
Hubert Wolf; Judith Schepers; Juditz Schepers (Editors),In wilder zügelloser Jagd nach Neuem,2009,Christian Churches & denominations
Lluís Martínez Sistach,Die Vereine von Gläubigen,2008,Religious institutions & organizations
Gerd Kampers,Geschichte der Westgoten,2008,History
Hildegard Macha; Monika Witzke; Volker Ladenthin; Norbert Meder; Uwe Uhlendorff; Cristina Allemann-Ghionda (Authors); Hildegard Macha; Monika Witzke; Norbert Meder; Uwe Uhlendorff; Cristina Allemann-Ghionda; Gerhard Mertens (Editors),Handbuch der Erziehungswissenschaft,2009,Education
Volker Hunecke,Europäische Reitermonumente,2008,Museums & museology
Sabine Doering-Manteuffel; Heidrun Alzheimer; Angela Treiber; Daniel Drascek (Editors),Jahrbuch für Europäische Ethnologie,2009,Ethnic studies
Agnieszka Zaganczyk-Neufeld,Die geglückte Revolution,2014,European history
Achim Lichtenberger; Dieter Haller; Meike Meerpohl (Editors),"Essays on Heritage, Tourism and Society in the MENA Region",2015,Museums & museology
Andrea Hopp; Holger Afflerbach; Konrad Canis; Lothar Gall; Eberhard Kolb (Editors),Otto von Bismarck. Gesammelte Werke - Neue Friedrichsruher Ausgabe,2014,Historiography
Hans Waldenfels SJ,Sein Name ist Franziskus,2014,Religious & spiritual leaders
Florian Bock,"Der Fall ""Publik""",2015,"Roman Catholicism, Roman Catholic Church"
Gerda Riedl; Harald Heinrich; Bertram Meier (Editors),Neue Evangelisierung – Kirche konkret,2014,Christianity
Peter Koch,Die Ordenspfarre,2014,Christian life & practice
Judith Wolf; Martin Dabrowski (Editors),Bildungspolitik und Bildungsgerechtigkeit,2008,Education
Norbert Trippen,Joseph Kardinal Höffner (1906-1987),2009,Religious & spiritual leaders
Gisela Drossbach (Volume Editor),Von der Ordnung zur Norm: Statuten in Mittelalter und Früher Neuzeit,2009,Legal history
Christiane Thompson,Bildung und die Grenzen der Erfahrung,2009,Philosophy & theory of education
Peter Schmidt (Author); Konrad Repgen; Erwin Gatz (Editors),Nuntius Antonio Albergati,2009,Religious & spiritual leaders
Peter Hofmann,Benedikt XVI.,2009,Christianity
Winfried Böhm,Maria Montessori,2010,History of education
Rudolf Morsey,Die Görres-Gesellschaft zur Pflege der Wissenschaft,2009,History of science
Hubert Wolf (Volume Editor),Register 1701-1813,2011,Christian Churches & denominations
Judith Wolf; Martin Dabrowski; Karlies Abmeier (Editors),Globalisierung und globale Gerechtigkeit,2009,Globalization
Martin Knechtges; Jörg Schenuit (Editors),Verwandlung,2009,Christianity
Manfred Müller-Neuendorf; Michael Obermaier (Editors),Handbuch Qualitätsmanagement Schule,2010,Examinations & assessment
Josef Quitterer; Georg Gasser (Editors),Die Aktualität des Seelenbegriffs,2010,Philosophy of religion
Karl-Günter Zelle,Hitlers zweifelnde Elite,2010,"Biography: historical, political & military"
Juliane Schütterle,"Kumpel, Kader und Genossen: Arbeiten und Leben im Uranbergbau der DDR",2010,History of specific companies / corporate history
Karen Holtmann,Die Saefkow-Jacob-Bästlein-Gruppe vor dem Volksgerichtshof,2010,Legal history
Dariusz Stepkowski; Alexander von Oettingen; Dietrich Benner; Alexander von Oettingen; Zhengmei Peng,Bildung - Moral - Demokratie,2015,Philosophy & theory of education
Ulrich Breuer; Nikolaus Wegmann (Editors),Athenäum,2010,Literary studies: general
Ulrike Winterstein (Author); Frank Kleinehagenbrock (Volume Editor),Vertriebener Klerus in Sachsen 1945-1955,2010,Ethnic minorities & multicultural studies
Johannes Meier; Roland Pieper; Heinz-Dieter Heimann; Joachim Schmiedl; P. Norbert Plogmann OFM; Giancarlo Collet; Volker Honemann (Editors),Vom Kulturkampf bis zum Anfang des 21. Jahrhunderts,2010,Religious communities & monasticism
Johannes Kunisch,Friedrich an den Ufern des Lethe-Flusses,2010,History
Michael Egerding,Die Exempla in der Deutschen Mystik: systemtheoretisch betrachtet,2011,Christianity
Klaus Zierer; Wolf-Thorsten Saalfrank (Authors); Klaus Zierer; Wolf-Thorsten Saalfrank (Editors),Zeitgemäße Klassiker der Pädagogik,2010,Philosophy & theory of education
Mike Lukasch,Zwischen Hoffnung und Scheitern,2011,Peace studies & conflict resolution
Hans Rothe; Hans Rothe; M. A. Momina; N. Trunte (Editors),Triodion und Pentekostarion,2010,Religion: general
Andreas Klingenberg,Sozialer Abstieg in der römischen Kaiserzeit,2011,European history
Patrick Keller; Michael Butter; Birte Christ (Editors),"9/11. Kein Tag, der die Welt veränderte",2011,General & world history
Roberto Sala,Fremde Worte,2011,Sociology
Michael Habersack,Friedrich Dessauer (1881 - 1963),2011,"Biography: historical, political & military"
Jochen Guckes,Konstruktionen bürgerlicher Identität,2012,European history
Georg Korting,Vitus Georg Tönnemann (1659-1740),2011,Christian Churches & denominations
Miriam Rürup (Author); Stefanie Schüler-Springorum; Rainer Liedtke (Editors),Alltag und Gesellschaft,2017,Judaism
Ralf Koerrenz,Schulmodell: Jena-Plan,2012,History of education
Ludger Honnefelder,Johannes Duns Scotus,2011,"Western philosophy: Medieval & Renaissance, c 500 to c 1600"
Jens Westemeier,Himmlers Krieger,2014,"Biography: historical, political & military"
Heinz-Dieter Heimann; Bernd Schmies; Christoph Stiegemann; Angelica Hilsebein (Editors),Gelobte Armut,2012,Religious communities & monasticism
Stephan Scholz,Vertriebenendenkmäler,2015,Museums & museology
Stephan Scholz; Bill Niven; Maren Röger (Editors),Die Erinnerung an Flucht und Vertreibung,2015,History
Andreas Matena,Das Bild des Papstes,2016,Christian Churches & denominations
Christian Berkenkopf,Sünde als ethisches Dispositiv,2013,Christianity
Cristina Allemann-Ghionda,"Bildung für alle, Diversität und Inklusion",2013,Education
Heinz Hürten (Volume Editor),Akten deutscher Bischöfe seit 1945,2012,Christian Churches & denominations
Hans Henning Hahn; Hans Henning Hahn; Robert Traba (Editors),Deutsch-Polnische Erinnerungsorte,2014,Social & cultural history
Martin Knechtges; Jörg Schenuit (Editors),Angesichts der Anfechtungen,2011,Philosophy & theory of education
Bernhard Großfeld,Internationales Bilanzrecht,2011,Taxation & duties law
Wilhelm Voßkamp,Einbildungskraft als Voraussetzung für eine politische Ästhetik bei Friedrich Schiller,2011,Philosophy: aesthetics
Heinz Duchhardt (Author); Martin Espenhorst (Volume Editor),Heinz Duchhardt: Frieden im Europa der Vormoderne,2012,European history
Markus Möstl,Bundesstaat und Staatenverbund,2012,Constitution: government & the state
Egon Flaig,Die Mehrheitsentscheidung,2013,Politics & government
Matthias Remenyi (Volume Editor),Amt und Autorität,2012,Christianity
Arnd Bauerkämper,Das umstrittene Gedächtnis,2012,History
Arnold Picot; Christof Schulz; Arnold Picot. Christof Schulz; Paul Roth; Hartmut Wiggers; Mustapha Fikri; Irenäus Wlokas,Virtualisierung von Organisationen. Synthesis of highly specific Nanoparticles in the gas phase,2012,Nanotechnology
Oliver Werner (Author); Oliver Werner (Volume Editor),Mobilisierung im Nationalsozialismus,2013,Political economy
Gerd Krumeich,Juli 1914,2014,Military history
Lothar Kilian,Die unbekannte Winterhilfe,2013,Social & cultural history
Ralf Koerrenz; Anne Stiebritz (Editors),Kirche - Bildung - Freiheit,2013,Christianity
Linus Hauser; Eckhard Nordhofen (Editors),Das Andere des Begriffs,2013,Philosophy of religion
Karl Ditt; Cordula Obergassel (Editors),Vom Bildungsideal zum Standortfaktor,2012,Regional government
Georg Schild,1983,2013,The Cold War
Simon Geissbühler,Blutiger Juli,2013,Military history
