Author(s),Title,Year,Subject
Marcel Danesi,"Pi (?) in Nature, Art, and Culture",2021,Philosophy of mathematics
Annie Jourdan (Volume Editor),Robespierre -Figure Reputation,1996,Cultural studies
Martin Gansten; Balabhadra Daivajña,The Jewel of Annual Astrology,2020,Fortune-telling & divination
B S Chimni; Miyoshi Masahiro; Li-ann Thio (Editors),"Asian Yearbook of International Law, Volume 13 (2007)",2007,International law
Mahnaz Moazami,Laws of Ritual Purity,2021,Middle Eastern history
Jacques van Ruiten; Koert van Bekkum (Volume Editors),Violence in the Hebrew Bible,2020,Christianity
Marianne Eaton-Krauss,Post-Amarna Period Statues of Amun and His Consorts Mut and Amunet,2020,Ancient history: to c 500 CE
Matthew Krehl Edward Thomas; Leechin Heng; Peter Walker (Volume Editors),"Inclusive Education Is a Right, Right?",2021,Education
Mercè Pujol Berché; Fermín Sierra Martínez (Volume Editors),Las lenguas en la Europa comunitaria II,1996,Linguistics
Bert Roest; Bert Roest; Fernand de Varennes; Fernand de Varennes (Editors),Aspects of Genre of and Type in Pre-Modern Literary Cultures,2000,Middle Eastern history
Bert Roest; Bert Roest; Fernand de Varennes; Fernand de Varennes (Editors),Aspects of Genre of and Type in Pre-Modern Literary Cultures,2000,Middle Eastern history
Nickolas P. Roubekas; Thomas Ryba (Editors),"Explaining, Interpreting, and Theorizing Religion and Myth",2020,Religion & beliefs
John Usher,"Cecil Polhill: Missionary, Gentleman and Revivalist",2020,Pentecostal Churches
Kirsten Middeke,The Old English Case System,2022,Historical & comparative linguistics
Olaf Terpitz; Marianne Windsperger (Volume Editors),Places and Forms of Encounter in Jewish Literatures,2021,Literary theory
Fatih Ça?atay Cengiz; Fatih Ça?atay Cengiz,Turkey: The Pendulum between Military Rule and Civilian Authoritarianism,2020,Sociology
Katja Tikka (Volume Editor),The Development of Commercial Law in Sweden and Finland (Early Modern Period–Nineteenth Century),2020,Legal history
Troels Pank Arbøll,Medicine in Ancient Assur,2021,History of medicine
Tetsu Akiyama,The Q?rgh?z Baatïr and the Russian Empire,2021,Middle Eastern history
Xiao Zhang (Volume Editor),"Chinese Research Perspectives on the Environment, Special Volume",2020,The environment
Gijs Versteegen; Stijn Bussels; Walter Melion (Editors),Magnificence in the Seventeenth Century,2021,History of art & design styles: c 1600 to c 1800
Tizian Zumthurm; Tizian Zumthurm,Practicing Biomedicine at the Albert Schweitzer Hospital 1913-1965,2020,History of medicine
Ménard,L'évangile de vérité,1972,Gnosticism
Ménard,L'Évangile selon Thomas,1975,Gnosticism
Martin Krause (Volume Editor),Essays on the Nag Hammadi Texts in Honour of Pahor Labib,1975,Gnosticism
Fallon,The Enthronement of Sabaoth,1978,Gnosticism
Stroumsa,Another Seed,1984,Gnosticism
Birger Pearson,Nag Hammadi Codex VII,1995,Gnosticism
Valery Rees; Valery Rees; Anna Corrias; Anna Corrias; Francesca M. Crasta; Francesca M. Crasta; Laura Follesa; Laura Follesa; Guido Giglioni; Guido Giglioni (Editors),Platonism,2021,"Western philosophy: Medieval & Renaissance, c 500 to c 1600"
Sabine Binder,Women and Crime in Post-Transitional South African Crime Fiction,2021,"Literary studies: fiction, novelists & prose writers"
Raphaële Garrod; Raphaële Garrod; Alexander Marr; Alexander Marr (Editors),Descartes and the Ingenium     ,2021,History of ideas
Eyal Aviv,Differentiating the Pearl from the Fish-Eye: Ouyang Jingwu and the Revival of Scholastic Buddhism,2020,Oriental & Indian philosophy
Sahiinii Lemaina Veikho,Grammar of Poumai Naga (Poula),2021,Usage & grammar guides
Maryanne Cline Horowitz; Louise Arizzoli (Editors),Bodies and Maps,2021,Historical maps & atlases
Matthew V. Novenson; Matthew V. Novenson (Volume Editors),Monotheism and Christology in Greco-Roman Antiquity,2020,History of religion
Boris Barth; Rolf Hobson (Volume Editors),Civilizing Missions in the Twentieth Century,2021,General & world history
Paul W. Kroll; Paul W. Kroll; Jonathan A. Silk; Jonathan A. Silk (Editors),At the Shores of the Sky,2021,Asian history
Roderick I. Wilson,Turbulent Streams,2021,Asian history
Julien Chaisse; Fernando Dias Simões; Danny Friedmann (Editors),Wine Law and Policy,2021,International law
Julia Lane (Volume Editor),Tracing Behind the Image,2021,Educational strategies & policy
Michael V. Leggiere (Volume Editor),Napoleon and the Operational Art of War,2021,History
Anne-Pascale Pouey-Mounou; Paul J. Smith (Editors),Ronsard and Du Bartas in Early Modern Europe,2021,Literary studies: poetry & poets
Schmidt (Volume Editor),The Books of Jeu and the Untitled Text in the Bruce Codex,1978,Gnosticism
Barns; Browne; Shelton (Editors),Nag Hammadi Codices. Greek and Coptic Papyri from the Cartonnage of the Covers,1981,Gnosticism
Harold Attridge (Volume Editor),Nag Hammadi Codex I (The Jung Codex),1985,Gnosticism
Parrott (Volume Editor),"Nag Hammadi Codices III, 3-4 and V,1 with Papyrus Berolinensis 8502,3 and Oxyrhynchus Papyrus 1081: Eugnostos and the Sophia of Jesus Christ",1991,Gnosticism
Guus A.J.C. van Loon; Joanne Vera Stolk (Volume Editors),"Text Editions of (Abnormal) Hieratic, Demotic, Greek, Latin and Coptic Papyri and Ostraca",2021,Classical history / classical civilisation
Maria Ypsilanti; Maria Ypsilanti; Laura Franco; Laura Franco,"Nonnus’ Paraphrase between Poetry, Rhetoric and Theology",2021,Classical history / classical civilisation
Jonathan Greig; Jonathan Greig,The First Principle in Late Neoplatonism,2021,"Western philosophy: Ancient, to c 500"
Benjamin Kinsella,Multilingualism and the Role of Sibling Order,2021,Sociolinguistics
Winfried Rudolf; Susan Irvine (Volume Editors),"The Anonymous Old English Homily: Sources, Composition, and Variation",2021,Classical texts
Tine Van Osselaer; Tine Van Osselaer; Andrea Graus; Andrea Graus; Leonardo Rossi; Leonardo Rossi; Kristof Smeyers; Kristof Smeyers,"The Devotion and Promotion of Stigmatics in Europe, c. 1800–1950",2021,Christian mysticism
Wisse; Waldstein,The Apocryphon of John,1995,Gnosticism
John Reeves,Heralds of That Good Realm,1996,Gnosticism
Jan Roskovec; Jan Roskovec; Vít Hušek; Vít Hušek (Volume Editors),Interactions in Interpretation,2021,Bibles
Ian Maclean,Episodes in the Life of the Early Modern Learned Book,2021,Media studies
Kathy Sanford; Darlene E. Clover; Nancy Taber; Sarah Williamson (Editors),Feminist Critique and the Museum,2020,"Adult education, continuous learning"
Tijana Krsti?; Derin Terzio?lu,"Historicizing Sunni Islam in the Ottoman Empire, c. 1450-c. 1750",2021,Middle Eastern history
Tasos Barkatsas; Tricia McLaughlin (Volume Editors),Championing Cutting-Edge 21st Century Mentoring and Learning Models and Approaches,2020,Education
Alfredo Saad-Filho; Alfredo Saad-Filho,Growth and Change in Neoliberal Capitalism,2021,Sociology
Moshe Sharon,"Corpus Inscriptionum Arabicarum Palaestinae, Volume Seven: J (2) Jerusalem 1",2021,Language: reference & general
Svetlana Klimova,Russian Intelligentsia in Search of an Identity,2021,Social & political philosophy
Inna Islanova,The Region of the Upper Msta River in the Early Middle Ages,2021,History
Marvin J. Heller (Volume Editor),Essays on the Making of the Early Hebrew Book,2021,Judaism: life & practice
Beth L. Hewett,A Scholarly Edition of Samuel P. Newman’s A Practical System of Rhetoric,2021,Literary studies: c 1800 to c 1900
Sven Saaler,Men in Metal,2020,Sculpture
Ernesto Capello,Mapping Mountains,2020,Historical maps & atlases
Hans Daiber,From the Greeks to the Arabs and Beyond,2021,Middle Eastern history
Xosé M. Núñez Seixas (Volume Editor),The First World War and the Nationality Question in Europe,2021,Social & cultural history
Tania Sona Smith,"Classical Rhetoric in English, 1650-1800",2021,"Literary studies: classical, early & medieval"
Eldon Jay Epp; Eldon Jay Epp,"Perspectives on New Testament Textual Criticism, Volume 2",2021,Biblical studies & exegesis
Yair Neuman,Conceptual Mathematics and Literature,2021,Applied mathematics
Hans Daiber,From the Greeks to the Arabs and Beyond,2021,Middle Eastern history
Clifford Davidson; Sophie Oosterwijk (Volume Editors),"John Lydgate, The Dance of Death, and its model, the French Danse Macabre",2021,Literature: history & criticism
Timothy Kircher; Timothy Kircher,Before Enlightenment,2021,"Western philosophy: Medieval & Renaissance, c 500 to c 1600"
Alejandro Jiménez-Serrano; Antonio J. Morales (Editors),Middle Kingdom Palace Culture and Its Echoes in the Provinces,2021,Egyptian archaeology / Egyptology
Even Sandvik Underlid; Even Sandvik Underlid,Cuba Was Different,2021,Politics & government
Even Sandvik Underlid; Even Sandvik Underlid,Cuba Was Different,2021,Politics & government
Mirella Klomp,Playing On: Re-staging the Passion after the Death of God,2021,Christian life & practice
Hamza M. Zafer,Ecumenical Community,2021,Islamic studies
Robin D. Rollinger; Robin D. Rollinger,Concept and Judgment in Brentano's Logic Lectures,2021,Philosophy: logic
Filip Doroszewski; Filip Doroszewski; Katarzyna Ja?d?ewska; Katarzyna Ja?d?ewska (Volume Editors),Nonnus of Panopolis in Context III,2021,"Literary studies: classical, early & medieval"
Chelsea C. Harry; Justin Habash (Volume Editors),Brill's Companion to the Reception of Presocratic Natural Philosophy in Later Classical Thought,2021,"Western philosophy: Ancient, to c 500"
Elina Pyy,Women and War in Roman Epic,2021,"Literary studies: classical, early & medieval"
Matthew Coneys Wainwright; Matthew Coneys Wainwright; Emily Michelson; Emily Michelson (Editors),A Companion to Religious Minorities in Early Modern Rome,2021,Interfaith relations
Matthew Coneys Wainwright; Matthew Coneys Wainwright; Emily Michelson; Emily Michelson (Editors),A Companion to Religious Minorities in Early Modern Rome,2021,Interfaith relations
Eloy Martín-Corrales,"Muslims in Spain, 1492-1814",2021,European history
Niels M. Blokker,Saving Succeeding Generations from the Scourge of War,2021,International human rights law
Ralph W. Hood; Ralph W. Hood; Sariya Cheruvallil-Contractor; Sariya Cheruvallil-Contractor (Editors),"Research in the Social Scientific Study of Religion, Volume 31",2021,Religion & beliefs
Kira Robison; Kira Robison,"Healers in the Making: Students, Physicians, and Medical Education in Medieval Bologna (1250-1550)",2021,History
Bruce Henning; Bruce Henning,Matthew’s Non-Messianic Mapping of Messianic Texts,2021,New Testaments
Anthony Axon; Susan Hewitt (Editors),Qatar 1975/76-2019,2020,International relations
Wim van Zanten,Music of the Baduy People of Western Java,2021,Music
"Daniel Fasko, Jr.; Frank Fair (Editors)",Critical Thinking and Reasoning,2021,Teaching skills & techniques
Jeremiah Morelock; Jeremiah Morelock (Volume Editors),How to Critique Authoritarian Populism,2021,Social theory
Dominique Mystris,An African Criminal Court,2021,International law
Joel Michael Crombez; Joel Michael Crombez,"Anxiety, Modern Society, and the Critical Method",2021,Society & culture: general
?Al? ibn Sahl Rabban a?-?abar? (Author); Oliver Kahl (Editor / Translator),?Al? ibn Sahl Rabban a?-?abar?’s Health Regimen or “Book of the Pearl”,2021,History of science
Marcin Trepczy?ski (Volume Editor),Philosophical Approaches to the Foundations of Logic and Mathematics,2021,Philosophy: logic
Luis Javier Pentón Herrera; Ethan Tính Tr?nh (Volume Editors),Critical Storytelling,2021,Education
Erik De Bom; Randall C.H. Lesaffer; Werner Thomas (Volume Editors),Early Modern Sovereignties,2021,Legal history
Andrew J. Summerson,Divine Scripture and Human Emotion in Maximus the Confessor,2021,Christianity
Kevin Ingram; Kevin Ingram (Editors),The Conversos and Moriscos in Late Medieval Spain and Beyond,2021,Early modern history: c 1450/1500 to c 1700
Sylvie Octobre,Youth Technoculture: From Aesthetics to Politics,2021,Age groups: adolescents
Carme López Calderón; Carme López Calderón,Applied Emblems in the Cathedral of Lugo,2021,Art & design styles: Baroque
Kehdinga George Fomunyam; Simon Bheki Khoza (Volume Editors),"Curriculum Theory, Curriculum Theorising, and the Theoriser",2021,Moral & social purpose of education
Thomasina Borkman,Self-Help/Mutual Aid Groups and Peer Support,2020,"Social services & welfare, criminology"
George L. van Driem,Ethnolinguistic Prehistory,2021,Linguistics
Serena Forlati (Volume Editor),The Palermo Convention at Twenty,2021,International criminal law
John M. Clum; Natka Bianchini (Volume Editors),Albee and Influence,2021,"Plays, playscripts"
Ellen Carm; Monica Johannesen; Bal Chandra Luitel; Leikny Øgrim; Prem Phyak (Volume Editors),Innovative Technologies and Pedagogical Shifts in Nepalese Higher Education,2021,Education
Fernand Drijkoningen; Klaus Beekman (Volume Editors),Avant Garde No. 0: Presentation,1987,The arts: general issues
Leigh Landy; Antje von Graevenitz (Volume Editors),Avant-Garde and Technology,1992,History of art / art & design styles
Dietrich Scheunemann; Dietrich Scheunemann (Volume Editors),European Avant-Garde,2000,The arts: general issues
Haraldur Hreinsson,Force of Words: A Cultural History of Christianity and Politics in Medieval Iceland (11th- 13th Centuries),2021,History
Micha? Le?niewski; Micha? Le?niewski,The Zulu-Boer War 1837–1840,2021,History
Tuuli Lähdesmäki; Katja Mäkinen; Viktorija Linda Aldona ?eginskas; Sigrid Kaasik-Krogerus,Europe from Below,2021,21st century history: from c 2000 -
Mercedes Volait,Antique Dealing and Creative Reuse in Cairo and Damascus 1850-1890,2021,Middle Eastern history
Eric Blanc,Revolutionary Social Democracy: Working-Class Politics Across the Russian Empire (1882-1917),2021,Socialism & left-of-centre democratic ideologies
Ineke Henze; Marc J. de Vries (Editors),Design-Based Concept Learning in Science and Technology Education,2021,Teaching skills & techniques
Håkon Leiulfsrud; Håkon Leiulfsrud; Peter Sohlberg; Peter Sohlberg (Volume Editors),Constructing Social Research Objects,2021,Sociology
Andreas Kramer; Andreas Kramer; Przemys?aw Stro?ek; Przemys?aw Stro?ek (Volume Editors),Sport and the European Avant-Garde (1900-1945),2022,History of art / art & design styles
William Puck Brecher,"Japan’s Private Spheres: Autonomy in Japanese History, 1600-1930",2021,Social interaction
ITLOS (Volume Editor),"Pleadings, Minutes of Public Sittings and Documents / Mémoires, procès-verbaux des audiences publiques et documents, Volume 27 (2019)",2021,Law of the sea
von Wright,The Tree of Knowledge and Other Essays,1993,European history
Vaden House,Without God or His Doubles,1994,European history
Dascal (Volume Editor),Cultural Relativism and Philosophy,1991,European history
Zemach,Types,1992,European history
Alfonso Maierù,University Training in Medieval Europe,1993,European history
Thomas M. Izbicki; Christopher M. Bellitto (Volume Editors),Reform and Renewal in the Middle Ages and the Renaissance,2000,European history
Heemskerk,Suffering in Mu‘tazilite Theology,2000,Islamic & Arabic philosophy
Pieter L. Schoonheim; Pieter L. Schoonheim; Pieter L. Schoonheim,Aristotle's Meteorology in the Arabico-Latin Tradition,2000,"Western philosophy: Ancient, to c 500"
Chumaru Koyama (Volume Editor),Nature in Medieval Thought,2000,"Western philosophy: Medieval & Renaissance, c 500 to c 1600"
Merlin Swartz,A Medieval Critique of Anthropomorphism,2002,Islamic & Arabic philosophy
David Brown,Mesopotamian Planetary Astronomy-Astrology,2000,Ancient history: to c 500 CE
E.L.J. Poortman; E.L.J. Poortman,"Petrus de Alvernia, Sententia super librum 'De vegetabilibus et plantis'",2003,"Western philosophy: Ancient, to c 500"
Karl-Heinz Pohl; Karl-Heinz Pohl; Karl-Heinz Pohl; Anselm Müller; Anselm Müller; Anselm Müller (Editors),Chinese Ethics in a Global Context,2002,Cultural studies
‘Abd al-Qâdir al-Djazâ'irî (Author); Michel Lagarde (Editor / Translator),"Le Livre des Haltes (Kitâb al-Mawâqif), Tome III",2002,Islam
Whitman,Interpretation and Allegory,2003,History of ideas
Anthony Lo Bello (Volume Editor),The Commentary of al-Nayrizi on Book I of Euclid's Elements of Geometry,2003,History of science
Anthony Lo Bello (Volume Editor),Gerard of Cremona’s Translation of the Commentary of al-Nayrizi on Book I of Euclid’s Elements of Geometry,2003,History of science
Maria Sabina Draga-Alexandru; Drago? Manea (Volume Editors),Religious Narratives in Contemporary Culture,2021,Religious subjects depicted in art
T. Day; T. Day (Editors),Clearing a Space,2002,Literary studies: general
C.W. Buijs; C.W. Buijs,Powers of Blessing from the Wilderness and from Heaven,2006,Anthropology
E.B. Locher-Scholten; E.B. Locher-Scholten,Hof en handel,2004,Regional & national history
Thomas Reuter; Thomas Reuter,The House of Our Ancestors,2002,Anthropology
Paul van der Veur; Paul van der Veur,The Lion and the Gadfly,2006,Regional & national history
Mihailo Djuri?,"Mythos, Wissenschaft, Ideologie",1979,Philosophy: epistemology & theory of knowledge
Avron Polakow,Tense and Performance,1981,Philosophy
Linda McAlister,The Development of Franz Brentano's Ethics,1982,Ethics & moral philosophy
Christoph von Wolzogen,Die autonome Relation,1984,Philosophy: logic
Michael H. Mitias,Moral Foundation of the State in Hegel's Philosophy of Right,1984,Western philosophy: c 1600 to c 1900
Horst Seidl,Beiträge zu Aristoteles' Erkenntnislehre und Metaphysik,1984,Philosophy: epistemology & theory of knowledge
Michael H. Mitias (Volume Editor),Aesthetic Quality and Aesthetic Experience,1988,Philosophy: aesthetics
Rudolph Berlinger; Wiebke Schrader; Alexander Böhlig (Volume Editors),Gnosis und Philosophie,1993,"Western philosophy: Ancient, to c 500"
W?odzimierz Galewicz; Elisabeth Ströker; W?adys?aw Strozewski (Volume Editors),Kunst und Ontologie,1994,Philosophy
In-Cheol Park; In-Cheol Park,Die Wissenschaft von der Lebenswelt,2001,"Western philosophy, from c 1900 -"
Poul Houe; Gordon D. Marino; Sven Hakon Rossel (Volume Editors),Anthropology and Authority,2000,Literary studies: general
Ruth Pouvreau,Schöpferische Weltbetrachtung,2002,Western philosophy: c 1600 to c 1900
Wolfgang Class; Alois K. Soller,Kommentar zu Fichtes Grundlage der gesamten Wissenschaftslehre,2004,History of Western philosophy
Hartmut Traub; Hartmut Traub (Volume Editors),Fichte und seine Zeit,2003,Western philosophy: c 1600 to c 1900
Helmut Girndt; Helmut Girndt; Hartmut Traub; Hartmut Traub (Volume Editors),Praktische und angewandte Philosophie II,2003,Western philosophy: c 1600 to c 1900
Helmut Girndt; Wolfgang H. Schrader (Volume Editors),Realität und Gewißheit,1994,Western philosophy: c 1600 to c 1900
Klaus Hammacher; Richard Schottky; Wolfgang H. Schrader (Volume Editors),Subjektivität,1995,Western philosophy: c 1600 to c 1900
Fenggang Yang; Jonathan Pettit; Chris White (Volume Editors),Shades of Gray in the Changing Religious Markets of China,2021,Comparative religion
T. Jameson Brewer,Homeschooling,2021,Education
Lieven Decock; Leon Horsten (Volume Editors),Quine,2000,Analytical philosophy & Logical Positivism
Jan Salamucha (Author); Kordula ?wi?torzecka; Jacek Jadacki (Volume Editors),Knowledge and Faith,2003,Analytical philosophy & Logical Positivism
Friedrich Stadler; Martin Seiler (Volume Editors),"Heinrich Gomperz, Karl Popper und die 'österreichische Philosophie'",1994,"Western philosophy, from c 1900 -"
Balász M. Mezei; Barry Smith,The Four Phases of Philosophy,1998,History of Western philosophy
Roderick M. Chisholm,Brentano and Meinong Studies,1982,History of Western philosophy
Bernard Bolzano; Bernard Bolzano,On the Mathematical Method and Correspondence with Exner,2004,Western philosophy: c 1600 to c 1900
Mirna Pit; Mirna Pit,How to express yourself with a causal connective,2003,Semantics
Mirna Pit; Mirna Pit,How to express yourself with a causal connective,2003,Semantics
Nicola Abbagnano,The Human Project,2002,Ethics & moral philosophy
Javier Muguerza,Ethics and Perplexity,2004,Ethics & moral philosophy
Derek R. Ford,Inhuman Educations,2021,Education
Martin van Schaik,The Harp in the Middle Ages,2005,History of art / art & design styles
Dongping Yang; Min Yang; Shengli Huang (Editors),"Chinese Research Perspectives on Educational Development, Volume 5",2021,Education
Samuel E. Balentine; Samuel E. Balentine,"“Look At Me and Be Appalled”. Essays on Job, Theology, and Ethics",2021,Old Testaments
Shun-hing Chan; Jonathan W. Johnson (Editors),Citizens of Two Kingdoms: Civil Society and Christian Religion in Greater China,2021,Christianity
Nicolae Alexandru Virastau,Early Modern French Autobiography,2021,Early modern history: c 1450/1500 to c 1700
Nancy W. Jabbra,Women and Gender in a Lebanese Village,2021,Gender studies: women
Ovanes Akopyan; Ovanes Akopyan (Editors),"Fate and Fortune in European Thought, ca. 1400–1650",2021,"Western philosophy: Medieval & Renaissance, c 500 to c 1600"
Gino Zaccaria,The Enigma of Art: On the Provenance of Artistic Creation,2021,Philosophy: aesthetics
William W. Malandra (Editor / Translator),The Fraward?n Yašt,2018,Middle Eastern history
Matthew G. Shoaf; Matthew G. Shoaf,Monumental Sounds  ,2021,History of art & design styles: c 1400 to c 1600
Jonathan Yogev; Jonathan Yogev,The Rephaim,2021,Ancient religions & mythologies
Matthew Koval,Childhood in Medieval Poland (1050-1300),2021,General & world history
Riho Altnurme (Volume Editor),"Old Religion, New Spirituality: Implications of Secularisation and Individualisation in Estonia",2021,Christian social thought & activity
Raphael Schäfer; Anne Peters (Volume Editors),Politics and the Histories of International Law,2021,Legal history
J. Andrew Overman; Daniel N. Schowalter; Michael C. Nelson (Editors),The Temple Complex at Horvat Omrit,2021,Middle & Near Eastern archaeology
Gianmarco Braghi,The Emergence of Pastoral Authority in the French Reformed Church (c.1555-c.1572),2021,Christian theology
Zachary Moon,Goatwalking: A Quaker Pastoral Theology,2021,Religion & beliefs
Ezgi B. Ünsal; Ezgi B. Ünsal,Constructing Change: A Political Economy of Housing and Electricity Provision in Turkey,2021,Sociology
Efraim Sicher,Re-envisioning Jewish Identities,2021,Judaism: life & practice
Greg Albo; Greg Albo; Stephen Maher; Stephen Maher; Alan Zuege; Alan Zuege (Volume Editors),"State Transformations: Classes, Strategy, Socialism",2021,Sociology
Hans-Christian Lehner (Volume Editor),The End(s) of Time(s),2021,Comparative religion
Laura Gianvittorio-Ungar; Laura Gianvittorio-Ungar; Karin Schlapbach; Karin Schlapbach (Volume Editors),Choreonarratives,2021,Classical history / classical civilisation
Heather Eggins; Anna Smolentseva; Hans de Wit (Volume Editors),Higher Education in the Next Decade,2021,Colleges of higher education
Sandrine Maljean-Dubois,Le droit international de la biodiversité,2021,International law
Erik H.A. van de Sandt,The Deviant Security Practices of Cyber Crime,2021,IT & Communications law
Ottavio Quirico,Investment Governance between the Energy Charter Treaty and the European Union,2021,International environmental law
Mateus F. De Campos; Mateus F. De Campos,Resisting Jesus,2021,New Testaments
H. Gätje,Das Kapitel über das Begehren aus dem Mittleren Kommentar des Averroes zur Schrift über die Seele,1985,Ethics & moral philosophy
Jón Vi?ar Sigur?sson; Jón Vi?ar Sigur?sson; Hans Jacob Orning; Hans Jacob Orning (Volume Editors),Medieval and Modern Civil Wars,2021,History
Xinzheng Li; Wenliang Liu; Wei Jiang (Volume Editors),Studies on the Taxonomy of Crustaceans,2021,Crustaceans
Sandra Schaal,Discovering Women’s Voices,2021,Textile industries
Herman Simissen; Herman Simissen,Theodor Lessing's Philosophy of History in Its Time,2021,"Western philosophy, from c 1900 -"
Jonathan Davies; Jonathan Davies; John Monfasani; John Monfasani (Editors),Renaissance Politics and Culture,2021,Early modern history: c 1450/1500 to c 1700
Jennifer D. Penschow; Jennifer D. Penschow,Battling Smallpox before Vaccination,2022,History of medicine
Gunnar Harðarson; Karl-Gunnar Johansson (Volume Editors),Dominican Resonances in Medieval Iceland,2021,History
Joe Andrew; Robert Reid (Volume Editors),Tolstoi and the Evolution of His Artistic World,2021,"Literary studies: fiction, novelists & prose writers"
Timo Eskola; Timo Eskola,New Testament Semiotics,2021,New Testaments
Jean-Baptiste Du Bos (Author); James O. Young; Margaret Cameron (Editors),Critical Reflections on Poetry and Painting (2 vols.),2021,Philosophy: aesthetics
Sarah Hayes,Postdigital Positionality,2021,Education
Kenneth Kai-chung Yung,"Chinese Émigré Intellectuals and Their Quest for Liberal Values in the Cold War, 1949–1969",2021,Cultural studies
Sergio Rotasperti,Metaphors in Proverbs,2021,Old Testaments
Javaid Rehman; Ayesha Shahid; Steve Foster (Editors),The Asian Yearbook of Human Rights and Humanitarian Law,2021,International human rights law
Fabienne Jagou,Gongga Laoren (1903-1997),2021,Buddhism
Jeanne Fahnestock (Editor / Translator),Philip Melanchthon: The Dialectical Questions,2021,Early modern history: c 1450/1500 to c 1700
Deborah Beck; Deborah Beck (Volume Editors),"Repetition, Communication, and Meaning in the Ancient World",2021,"Literary studies: classical, early & medieval"
Cesare Cuttica; László Kontler (Volume Editors),Crisis and Renewal in the History of European Political Thought,2021,Social & political philosophy
Ebru Boyar; Kate Fleet (Editors),Making a Living in Ottoman Anatolia,2021,Economic history
Walter Bernhart; Axel Englund (Volume Editors),Arts of Incompletion,2021,Literature: history & criticism
Anna Bohlin; Tiina Kinnunen; Heidi Grönstrand (Volume Editors),Nineteenth-Century Nationalisms and Emotions in the Baltic Sea Region,2021,Social & cultural history
Paul Hammond,Tragic Agency in Classical Drama from Aeschylus to Voltaire,2022,Literature: history & criticism
Dario Dzananovic,"Migration, the State and Faith-Based Organizations",2021,International human rights law
Patrícia Galvão Teles; Manuel Almeida Ribeiro (Editors),Case-Law and the Development of International Law,2021,International law
Piotr Szczypa,Irish Stereotype in American Cinema,2021,Film theory & criticism
Laura Baranzini; Laura Baranzini; Louis de Saussure; Louis de Saussure (Volume Editors),Recherches actuelles sur le temps et l’aspect,2022,"Grammar, syntax"
Zhaoyuan WAN,Science and the Confucian Religion of Kang Youwei (1858–1927),2021,Confucianism
Michael Cross; Caroline Long; Sibonokuhle Ndlovu; Phefumula Nyoni (Volume Editors),"Transformative Curricula, Pedagogies and Epistemologies",2021,Universities
Denise Kasparian; Denise Kasparian,Co-operative Struggles: Work Conflicts in Argentina’s New Worker Co-operatives,2022,Sociology
David Challis,Foreign Currency Volatility and the Market for French Modernist Art,2021,History of art / art & design styles
Yehuda Halper,Jewish Socratic Questions in an Age without Plato,2021,Philosophy: epistemology & theory of knowledge
Edward Jones Corredera,The Diplomatic Enlightenment,2021,Social & political philosophy
Brian Douglas,The Anglican Eucharist in Australia,2022,"Anglican & Episcopalian Churches, Church of England"
Steven J. Friesen; Steven J. Friesen; Michalis Lychounas; Michalis Lychounas; Daniel N. Schowalter; Daniel N. Schowalter (Volume Editors),"Philippi, From Colonia Augusta to Communitas Christiana",2022,Classical history / classical civilisation
Fabian van Onzen; Fabian van Onzen,Service Workers in the Era of Monopoly Capital,2022,Sociology
Christopher A. Porter; Christopher A. Porter,Johannine Social Identity Formation after the Fall of the Jerusalem Temple,2022,New Testaments
Marie de Rugy,Imperial Borderlands,2022,Historical geography
Rosamund Oates; Jessica G. Purdy (Editors),Communities of Print,2022,Early modern history: c 1450/1500 to c 1700
Inter-American Commission on Human Right; Inter-American Court of Human Rights/La (Editors),"Inter-American Yearbook on Human Rights / Anuario Interamericano de Derechos Humanos, Volume 4 (1988)",1991,International human rights law
Inter-American Commission on Human Right; Inter-American Court of Human Rights/La (Editors),"Inter-American Yearbook on Human Rights / Anuario Interamericano de Derechos Humanos, Volume 5 (1989)",1992,International human rights law
María José Falcón y Tella,The Law in Cervantes and Shakespeare,2021,International law
Inter-American Commission on Human Rights (Volume Editor),"Inter-American Yearbook on Human Rights / Anuario Interamericano de Derechos Humanos, Volume 21 (2005) (2 vols.)",2010,International human rights law
Dragos Calma; Evan King (Editors),The Renewal of Medieval Metaphysics,2021,Philosophy: metaphysics & ontology
Edwin J. de Sterke,Das Maß des Menschen,2022,"Western philosophy: Ancient, to c 500"
Piotr Stalmaszczyk; Mieszko Ta?asiewicz (Volume Editors),The Lvov-Warsaw School and Contemporary Philosophy of Language,2022,Philosophy of language
Eren Tasar; Allen J. Frank; Jeff Eden (Editors),From the Khan's Oven,2022,Islam
Antonella Del Prete; Antonella Del Prete; Anna Lisa Schino; Anna Lisa Schino; Pina Totaro; Pina Totaro (Editors),The Philosophers and the Bible,2022,History of Western philosophy
Jacques Bos; Jacques Bos; Jan Rotmans; Jan Rotmans (Editors),The Long Quarrel,2022,History of Western philosophy
Alisa van de Haar; Annelies Schulte Nordholt (Volume Editors),Figurations animalières à travers les textes et l’image en Europe,2022,Literature: history & criticism
Lasse Horne Kjældgaard,The Original Age of Anxiety,2021,Phenomenology & Existentialism
James Nati,Textual Criticism and the Ontology of Literature in Early Judaism,2022,Judaism
Madeleine Scopello; Madeleine Scopello (Volume Editors),Women in Western and Eastern Manichaeism,2022,Christianity
